Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7662337662337663,0.6792452830188679,0.6545454545454545,0.6666666666666666
Random Forest,0.7597402597402597,0.6607142857142857,0.6727272727272727,0.6666666666666666
Gradient Boosting,0.7337662337662337,0.609375,0.7090909090909091,0.6554621848739496
Logistic Regression Tuned,0.7792207792207793,0.723404255319149,0.6181818181818182,0.6666666666666666
